path	sentence
common_voice_en_22096094	yes
common_voice_en_22281819	no
common_voice_en_21918182	three
common_voice_en_21918187	four
common_voice_en_22223252	no
common_voice_en_22299566	yes
common_voice_en_21916300	no
common_voice_en_22088024	no
common_voice_en_22109555	four
common_voice_en_22109557	one
common_voice_en_22006908	four
common_voice_en_22006909	one
common_voice_en_22026685	one
common_voice_en_22213724	one
common_voice_en_22213725	yes
common_voice_en_21908769	two
common_voice_en_21908772	no
common_voice_en_22073011	two
common_voice_en_22073016	yes
common_voice_en_21940480	yes
common_voice_en_21940481	no
common_voice_en_22219238	two
common_voice_en_22219240	no
common_voice_en_22125597	yes
common_voice_en_22125599	three
common_voice_en_22121016	two
common_voice_en_22151381	four
common_voice_en_22187937	one
common_voice_en_22006355	three
common_voice_en_22006362	two
common_voice_en_22181042	yes
common_voice_en_22044391	two
common_voice_en_22044397	one
common_voice_en_22192760	two
common_voice_en_22042213	one
common_voice_en_22007683	two
common_voice_en_22007686	four
common_voice_en_22287971	no
common_voice_en_22069795	four
common_voice_en_22193716	yes
common_voice_en_22252189	no
common_voice_en_22070346	four
common_voice_en_22113879	three
common_voice_en_22113880	one
common_voice_en_22038965	no
common_voice_en_22246481	one
common_voice_en_22246483	no
common_voice_en_22065117	no
common_voice_en_22065184	two
common_voice_en_22019095	no
common_voice_en_21915127	two
common_voice_en_22228776	two
common_voice_en_22126934	no
common_voice_en_22019957	two
common_voice_en_22063790	four
common_voice_en_22063792	no
common_voice_en_22063794	yes
common_voice_en_22136310	yes
common_voice_en_22228709	yes
common_voice_en_22228710	two
common_voice_en_21959581	three
common_voice_en_21932809	four
common_voice_en_21932810	yes
common_voice_en_22070437	three
common_voice_en_22156951	three
common_voice_en_22156957	two
common_voice_en_22004348	three
common_voice_en_22159519	no
common_voice_en_22186209	three
common_voice_en_22186211	yes
common_voice_en_22186214	two
common_voice_en_22192602	yes
common_voice_en_21965424	two
common_voice_en_21965429	one
common_voice_en_22080263	two
common_voice_en_22080267	yes
common_voice_en_22071644	four
common_voice_en_22071650	one
common_voice_en_21949904	yes
common_voice_en_21949907	one
common_voice_en_21995234	two
common_voice_en_22010122	four
common_voice_en_22178808	three
common_voice_en_22178817	yes
common_voice_en_22123111	four
common_voice_en_22123118	no
common_voice_en_22200092	three
common_voice_en_22200095	yes
common_voice_en_22105583	three
common_voice_en_22197471	no
common_voice_en_22197476	two
common_voice_en_22038731	two
common_voice_en_22038734	four
common_voice_en_22215292	two
common_voice_en_22215296	three
common_voice_en_21945447	yes
common_voice_en_22105616	one
common_voice_en_21959053	one
common_voice_en_21959056	no
common_voice_en_22199917	three
common_voice_en_22296009	yes
common_voice_en_22296012	no
common_voice_en_22296021	one
common_voice_en_22182776	no
common_voice_en_21972577	no
common_voice_en_22184829	four
common_voice_en_22184833	yes
common_voice_en_22261044	yes
common_voice_en_22261045	one
common_voice_en_22261046	no
common_voice_en_22172984	two
common_voice_en_22172985	no
common_voice_en_22172986	four
common_voice_en_22028443	four
common_voice_en_22074321	yes
common_voice_en_22072615	four
common_voice_en_22072624	one
common_voice_en_22047367	one
common_voice_en_22047368	two
common_voice_en_22119979	no
common_voice_en_22119981	four
common_voice_en_21945694	three
common_voice_en_21945695	no
common_voice_en_21945696	two
common_voice_en_22304640	no
common_voice_en_22304644	yes
common_voice_en_22148751	yes
common_voice_en_22148753	four
common_voice_en_22148754	three
common_voice_en_22088009	one
common_voice_en_22088011	yes
common_voice_en_22156713	yes
common_voice_en_21990265	no
common_voice_en_21990270	one
common_voice_en_21990271	three
common_voice_en_22193315	three
common_voice_en_21950352	one
common_voice_en_22157857	no
common_voice_en_21963479	four
common_voice_en_22206923	yes
common_voice_en_21944710	four
common_voice_en_21916755	four
common_voice_en_21916756	three
common_voice_en_22005415	yes
common_voice_en_22090807	yes
common_voice_en_22090808	one
common_voice_en_22263056	yes
common_voice_en_22263067	one
common_voice_en_22263075	two
common_voice_en_22081246	four
common_voice_en_22081251	no
common_voice_en_22139027	one
common_voice_en_22139037	four
common_voice_en_22102513	two
common_voice_en_21914209	yes
common_voice_en_22088919	three
common_voice_en_22123217	yes
common_voice_en_22193584	two
common_voice_en_21962019	one
common_voice_en_21962022	two
common_voice_en_22014373	one
common_voice_en_22014374	yes
common_voice_en_22014375	no
common_voice_en_22239093	yes
common_voice_en_22103270	two
common_voice_en_22103273	one
common_voice_en_21979550	yes
common_voice_en_22297918	one
common_voice_en_22060076	two
common_voice_en_22060079	one
common_voice_en_22233633	four
common_voice_en_22085300	two
common_voice_en_22170128	no
common_voice_en_22170137	four
common_voice_en_22089372	one
common_voice_en_22263322	four
common_voice_en_22198467	four
common_voice_en_22112642	no
common_voice_en_22026787	no
common_voice_en_22026789	four
common_voice_en_22073949	yes
common_voice_en_22073951	no
common_voice_en_22073957	two
common_voice_en_22217965	two
common_voice_en_21987880	no
common_voice_en_22221165	one
common_voice_en_22221166	no
common_voice_en_22182078	one
common_voice_en_22016405	no
common_voice_en_22016407	three
common_voice_en_21901884	one
common_voice_en_22164692	three
common_voice_en_21948821	two
common_voice_en_22040326	no
common_voice_en_22063651	one
common_voice_en_22063653	three
common_voice_en_22210218	no
common_voice_en_21943911	no
common_voice_en_21943915	one
common_voice_en_22060919	no
common_voice_en_22186188	one
common_voice_en_22039199	two
common_voice_en_22039203	three
common_voice_en_22043308	yes
common_voice_en_22217853	three
common_voice_en_22217854	no
common_voice_en_22170783	two
common_voice_en_22204407	three
common_voice_en_22204409	yes
common_voice_en_22154506	two
common_voice_en_22154508	yes
common_voice_en_22148600	three
common_voice_en_22148601	two
common_voice_en_21995077	two
common_voice_en_22111100	one
common_voice_en_22111106	yes
common_voice_en_22175882	yes
common_voice_en_22203391	no
common_voice_en_22203392	one
common_voice_en_22285600	no
common_voice_en_22285603	yes
common_voice_en_22285604	one
common_voice_en_22186240	one
common_voice_en_22140657	two
common_voice_en_22263337	no
common_voice_en_22263338	four
common_voice_en_22148045	four
common_voice_en_22193427	three
common_voice_en_22070232	two
common_voice_en_22074197	no
common_voice_en_22303528	yes
common_voice_en_22303532	no
common_voice_en_21949046	two
common_voice_en_21949047	yes
common_voice_en_22037092	three
common_voice_en_22069838	yes
common_voice_en_22069840	one
common_voice_en_22069843	no
common_voice_en_22069845	four
common_voice_en_22087106	yes
common_voice_en_22087108	four
common_voice_en_22154339	yes
common_voice_en_22002389	yes
common_voice_en_22002403	three
common_voice_en_22117165	one
common_voice_en_22119158	yes
common_voice_en_22013703	yes
common_voice_en_22013704	one
common_voice_en_22075609	one
common_voice_en_22075614	four
common_voice_en_22147607	yes
common_voice_en_22147608	one
common_voice_en_22066744	yes
common_voice_en_22066753	four
common_voice_en_22097424	no
common_voice_en_22097425	one
common_voice_en_22097426	two
common_voice_en_22097428	three
common_voice_en_21984419	one
common_voice_en_21984420	yes
common_voice_en_21984422	no
common_voice_en_21966664	one
common_voice_en_22008578	four
common_voice_en_22007332	no
common_voice_en_22007335	four
common_voice_en_22065441	two
common_voice_en_22065445	three
common_voice_en_22065447	one
common_voice_en_22027331	four
common_voice_en_22168737	four
common_voice_en_22168751	no
common_voice_en_21970461	yes
common_voice_en_21970462	three
common_voice_en_21970465	two
common_voice_en_22108743	four
common_voice_en_22108746	one
common_voice_en_22269887	one
common_voice_en_22269888	four
common_voice_en_22269889	two
common_voice_en_22269890	no
common_voice_en_22155268	three
common_voice_en_22155275	two
common_voice_en_21923934	three
common_voice_en_21923936	yes
common_voice_en_22192719	no
common_voice_en_22192723	two
common_voice_en_22036757	three
common_voice_en_22036758	four
common_voice_en_22036759	one
common_voice_en_22141988	two
common_voice_en_22020045	four
common_voice_en_22020046	one
common_voice_en_21952959	yes
common_voice_en_21952960	three
common_voice_en_21952962	one
common_voice_en_22303723	no
common_voice_en_22303724	yes
common_voice_en_22103711	one
common_voice_en_22103714	three
common_voice_en_22103715	no
common_voice_en_21950038	no
common_voice_en_21950039	three
common_voice_en_22044058	two
common_voice_en_22044060	one
common_voice_en_22011960	one
common_voice_en_22011961	no
common_voice_en_22011962	four
common_voice_en_22071470	one
common_voice_en_21938040	no
common_voice_en_21938042	yes
common_voice_en_22114280	one
common_voice_en_22114282	no
common_voice_en_22157513	yes
common_voice_en_22157514	three
common_voice_en_22157516	four
common_voice_en_22154949	no
common_voice_en_22154951	yes
common_voice_en_22215102	no
common_voice_en_22174433	four
common_voice_en_22174435	yes
common_voice_en_22174437	two
common_voice_en_22235174	four
common_voice_en_22235175	two
common_voice_en_22268421	four
common_voice_en_22268422	two
common_voice_en_22028688	four
common_voice_en_21947662	three
common_voice_en_21983296	no
common_voice_en_21983377	three
common_voice_en_21963862	yes
common_voice_en_21963866	no
common_voice_en_21963869	three
common_voice_en_22095794	one
common_voice_en_22095797	yes
common_voice_en_22130397	yes
common_voice_en_22130401	no
common_voice_en_22057825	no
common_voice_en_22057827	three
common_voice_en_22057828	two
common_voice_en_22226011	no
common_voice_en_22226012	four
common_voice_en_22079780	no
common_voice_en_21897416	one
common_voice_en_21897417	yes
common_voice_en_22121605	four
common_voice_en_22121613	yes
common_voice_en_22121615	one
common_voice_en_22170192	one
common_voice_en_22170193	four
common_voice_en_22170194	three
common_voice_en_21949126	two
common_voice_en_21949127	no
common_voice_en_21949888	yes
common_voice_en_22004803	two
common_voice_en_22004806	no
common_voice_en_22004807	four
common_voice_en_22235436	three
common_voice_en_21984329	yes
common_voice_en_22093177	three
common_voice_en_22093215	four
common_voice_en_22110290	yes
common_voice_en_22110294	four
common_voice_en_22110680	three
common_voice_en_22146806	yes
common_voice_en_22136857	four
common_voice_en_22037004	three
common_voice_en_22037005	one
common_voice_en_22057579	yes
common_voice_en_22057582	four
common_voice_en_22017704	two
common_voice_en_22017706	one
common_voice_en_22007597	one
common_voice_en_22007601	two
common_voice_en_22121025	four
common_voice_en_22121030	no
common_voice_en_22226774	three
common_voice_en_22147079	three
common_voice_en_22147082	two
common_voice_en_22151819	one
common_voice_en_22151821	yes
common_voice_en_22187895	three
common_voice_en_22174226	one
common_voice_en_22174235	two
common_voice_en_22173644	yes
common_voice_en_22056087	yes
common_voice_en_22056089	no
common_voice_en_22301489	no
common_voice_en_22301506	yes
common_voice_en_22009181	two
common_voice_en_22019169	four
common_voice_en_22156846	four
common_voice_en_22156849	two
common_voice_en_22156855	yes
common_voice_en_22068457	yes
common_voice_en_22068461	no
common_voice_en_22068462	four
common_voice_en_22017909	no
common_voice_en_22116288	two
common_voice_en_22116292	no
common_voice_en_22148678	three
common_voice_en_21977318	no
common_voice_en_22160518	four
common_voice_en_22160524	one
common_voice_en_22064241	yes
common_voice_en_22064242	three
common_voice_en_22064243	four
common_voice_en_22064246	one
common_voice_en_22010987	two
common_voice_en_22010988	three
common_voice_en_22021048	three
common_voice_en_22114667	four
common_voice_en_22080864	three
common_voice_en_21965027	two
common_voice_en_22058890	three
common_voice_en_22057537	yes
common_voice_en_22057539	four
common_voice_en_22057541	three
common_voice_en_22047419	yes
common_voice_en_22047420	four
common_voice_en_22047421	one
common_voice_en_22301019	yes
common_voice_en_22301021	no
common_voice_en_22077404	two
common_voice_en_22091028	no
common_voice_en_22175158	two
common_voice_en_22175160	one
common_voice_en_22276545	yes
common_voice_en_22276549	no
common_voice_en_22276552	one
common_voice_en_21931963	four
common_voice_en_21931964	one
common_voice_en_22003573	two
common_voice_en_22003575	four
common_voice_en_22270897	two
common_voice_en_22069602	four
common_voice_en_21959359	no
common_voice_en_21959360	four
common_voice_en_21959361	three
common_voice_en_22253162	yes
common_voice_en_22253164	one
common_voice_en_22049468	four
common_voice_en_22006371	no
common_voice_en_22127484	two
common_voice_en_22127504	three
common_voice_en_21978838	one
common_voice_en_21978841	no
common_voice_en_21920915	one
common_voice_en_21920917	three
common_voice_en_22188598	one
common_voice_en_22188605	two
common_voice_en_22188612	no
common_voice_en_22188617	four
common_voice_en_22107235	three
common_voice_en_22107236	one
common_voice_en_22109752	one
common_voice_en_22109754	three
common_voice_en_21950729	no
common_voice_en_21916493	yes
common_voice_en_21916496	four
common_voice_en_21945574	yes
common_voice_en_21945577	no
common_voice_en_21945581	three
common_voice_en_21929819	yes
common_voice_en_21929820	three
common_voice_en_22192741	four
common_voice_en_22194702	three
common_voice_en_22187622	four
common_voice_en_22187623	yes
common_voice_en_22113594	four
common_voice_en_22113595	three
common_voice_en_22113596	two
common_voice_en_22155830	no
common_voice_en_22155841	one
common_voice_en_22155847	three
common_voice_en_22129822	two
common_voice_en_22169657	four
common_voice_en_22169660	three
common_voice_en_22224238	no
common_voice_en_22224240	four
common_voice_en_21939336	no
common_voice_en_21939337	three
common_voice_en_21939338	four
common_voice_en_22221239	one
common_voice_en_22221241	three
common_voice_en_22221242	no
common_voice_en_22277283	yes
common_voice_en_22264408	one
common_voice_en_22264413	no
common_voice_en_21963430	two
common_voice_en_21963432	three
common_voice_en_22081931	yes
common_voice_en_22081933	two
common_voice_en_22123534	yes
common_voice_en_21950343	four
common_voice_en_21950344	three
common_voice_en_22046755	four
common_voice_en_21956278	three
common_voice_en_21956280	no
common_voice_en_22142307	two
common_voice_en_22142309	yes
common_voice_en_22142311	four
common_voice_en_21941833	four
common_voice_en_22228226	three
common_voice_en_22116236	four
common_voice_en_22287424	one
common_voice_en_22287425	yes
common_voice_en_22196649	two
common_voice_en_22196651	four
common_voice_en_22250420	two
common_voice_en_22250428	four
common_voice_en_22147144	no
common_voice_en_22210557	yes
common_voice_en_21984588	three
common_voice_en_22080874	three
common_voice_en_22080879	yes
common_voice_en_22080883	one
common_voice_en_22029766	two
common_voice_en_21895784	three
common_voice_en_21895786	four
common_voice_en_22021528	four
common_voice_en_22013342	four
common_voice_en_22009020	yes
common_voice_en_22009023	one
common_voice_en_22236980	three
common_voice_en_22236981	four
common_voice_en_22236983	no
common_voice_en_22039506	no
common_voice_en_22039518	four
common_voice_en_22131695	four
common_voice_en_22221114	three
common_voice_en_22221115	yes
common_voice_en_22185481	one
common_voice_en_22076026	one
common_voice_en_21947403	three
common_voice_en_22099186	no
common_voice_en_22099187	yes
common_voice_en_22219331	two
common_voice_en_22219333	three
common_voice_en_21901359	four
common_voice_en_21901360	yes
common_voice_en_22068751	one
common_voice_en_22084021	yes
common_voice_en_22084022	three
common_voice_en_22084031	two
common_voice_en_22235498	yes
common_voice_en_22235503	two
common_voice_en_22235507	no
common_voice_en_22111852	four
common_voice_en_22111853	no
common_voice_en_22111855	one
common_voice_en_22010815	two
common_voice_en_22099504	no
common_voice_en_22099505	three
common_voice_en_22021540	yes
common_voice_en_22021541	no
common_voice_en_22021543	two
common_voice_en_22177230	one
common_voice_en_22177231	four
common_voice_en_22177235	yes
common_voice_en_21993094	no
common_voice_en_21993097	four
common_voice_en_22223827	one
common_voice_en_22223828	two
common_voice_en_22003294	yes
common_voice_en_22003297	four
common_voice_en_22262670	one
common_voice_en_22282343	two
common_voice_en_22225955	no
common_voice_en_22225962	one
common_voice_en_22184355	yes
common_voice_en_22146908	two
common_voice_en_22008665	two
common_voice_en_22008667	yes
common_voice_en_22064643	four
common_voice_en_21933256	two
common_voice_en_21933260	yes
common_voice_en_22136600	no
common_voice_en_22136605	four
common_voice_en_22074693	yes
common_voice_en_22074703	two
common_voice_en_22074776	one
common_voice_en_22023704	four
common_voice_en_22023705	two
common_voice_en_22007992	two
common_voice_en_22007993	yes
common_voice_en_22149409	three
common_voice_en_22149410	four
common_voice_en_21920216	two
common_voice_en_22220404	four
common_voice_en_22220407	two
common_voice_en_22220408	three
common_voice_en_22178143	three
common_voice_en_21942492	three
common_voice_en_21996806	four
common_voice_en_21996810	three
common_voice_en_22021201	four
common_voice_en_22021203	one
common_voice_en_22167945	two
common_voice_en_22151472	one
common_voice_en_22148069	four
common_voice_en_22148073	yes
common_voice_en_22271010	two
common_voice_en_22271012	one
common_voice_en_22075731	three
common_voice_en_22075739	one
common_voice_en_22075748	two
common_voice_en_22004210	two
common_voice_en_22004215	one
common_voice_en_21969331	four
common_voice_en_21969369	three
common_voice_en_21969475	yes
common_voice_en_22113165	four
common_voice_en_22061548	no
common_voice_en_22061553	four
common_voice_en_21991332	no
common_voice_en_21947746	four
common_voice_en_21947748	no
common_voice_en_21963349	no
common_voice_en_21963356	four
common_voice_en_22134159	one
common_voice_en_22134162	yes
common_voice_en_22134163	four
common_voice_en_22087737	four
common_voice_en_22033347	one
common_voice_en_22033356	yes
common_voice_en_22033361	four
common_voice_en_22141069	no
common_voice_en_22017516	four
common_voice_en_22017518	no
common_voice_en_22100496	no
common_voice_en_22100500	three
common_voice_en_21974353	four
common_voice_en_21974354	one
common_voice_en_21974376	yes
common_voice_en_21958790	three
common_voice_en_21958791	yes
common_voice_en_21958793	four
common_voice_en_22216437	three
common_voice_en_22216447	one
common_voice_en_22019945	three
common_voice_en_22019949	no
common_voice_en_21971573	one
common_voice_en_21971574	four
common_voice_en_22103025	no
common_voice_en_22193090	two
common_voice_en_22086190	one
common_voice_en_21949263	yes
common_voice_en_21968995	four
common_voice_en_21969292	four
common_voice_en_21969592	one
common_voice_en_21969609	two
common_voice_en_21915170	three
common_voice_en_21915172	yes
common_voice_en_22016309	no
common_voice_en_22016312	three
common_voice_en_22060474	no
common_voice_en_22126036	three
common_voice_en_22126038	yes
common_voice_en_22126042	four
common_voice_en_22134655	one
common_voice_en_22134662	three
common_voice_en_21975565	two
common_voice_en_21975671	yes
common_voice_en_21968720	one
common_voice_en_21968728	two
common_voice_en_21968737	yes
common_voice_en_21970009	one
common_voice_en_21970015	no
common_voice_en_21926503	two
common_voice_en_21926505	one
common_voice_en_21926506	four
common_voice_en_22304952	no
common_voice_en_22304956	yes
common_voice_en_22107027	yes
common_voice_en_22107030	three
common_voice_en_22028187	yes
common_voice_en_22028188	no
common_voice_en_22230759	no
common_voice_en_21968382	three
common_voice_en_22219759	one
common_voice_en_22219760	two
common_voice_en_21943170	three
common_voice_en_22016489	four
common_voice_en_22078495	two
common_voice_en_22078498	three
common_voice_en_22095015	no
common_voice_en_22095017	two
common_voice_en_22115873	two
common_voice_en_22115878	yes
common_voice_en_22115885	one
common_voice_en_21963664	no
common_voice_en_21963665	one
common_voice_en_22147343	one
common_voice_en_22158858	two
common_voice_en_22152623	two
common_voice_en_22152632	four
common_voice_en_22227023	no
common_voice_en_22227024	one
common_voice_en_21955592	four
common_voice_en_21955593	no
common_voice_en_21952785	three
common_voice_en_21952788	yes
common_voice_en_22092398	two
common_voice_en_22092401	no
