	path	sentence
57	common_voice_en_22093657_pitch_0.8	four
58	common_voice_en_22070617_pitch_1.2	one
59	common_voice_en_22196356_noise_0.03	one
60	common_voice_en_22004387_noise_0.03	no
61	common_voice_en_22004388_pitch_0.8	one
62	common_voice_en_22321697_pitch_1.2	yes
63	common_voice_en_22075803_noise_0.03	one
64	common_voice_en_22191134_noise_0.03	two
65	common_voice_en_22157686_pitch_0.8	one
66	common_voice_en_22311292_pitch_1.2	yes
67	common_voice_en_22305715_noise_0.03	yes
68	common_voice_en_22158163_noise_0.03	yes
69	common_voice_en_22158166_pitch_0.8	four
70	common_voice_en_22024408_pitch_1.2	four
71	common_voice_en_22128457_noise_0.03	no
72	common_voice_en_22319916_noise_0.03	yes
73	common_voice_en_22171717_pitch_0.8	four
74	common_voice_en_22239665_pitch_1.2	three
75	common_voice_en_22021100_noise_0.03	four
76	common_voice_en_22130234_noise_0.03	yes
77	common_voice_en_22122381_pitch_0.8	yes
78	common_voice_en_22300343_pitch_1.2	yes
79	common_voice_en_22192710_noise_0.03	one
80	common_voice_en_21927873_noise_0.03	two
81	common_voice_en_22317651_pitch_0.8	yes
82	common_voice_en_22074425_pitch_1.2	three
83	common_voice_en_22310771_noise_0.03	yes
84	common_voice_en_22179662_noise_0.03	four
85	common_voice_en_21948745_pitch_0.8	two
86	common_voice_en_22308879_pitch_1.2	yes
87	common_voice_en_22137125_noise_0.03	two
88	common_voice_en_21949266_noise_0.03	no
89	common_voice_en_21994514_pitch_0.8	four
90	common_voice_en_22204385_pitch_1.2	three
91	common_voice_en_22251715_noise_0.03	no
92	common_voice_en_22314299_noise_0.03	yes
93	common_voice_en_22048724_pitch_0.8	one
94	common_voice_en_22050535_pitch_1.2	one
95	common_voice_en_22041180_noise_0.03	no
96	common_voice_en_22175205_noise_0.03	no
97	common_voice_en_22062759_pitch_0.8	yes
98	common_voice_en_22312458_pitch_1.2	yes
99	common_voice_en_21981007_noise_0.03	yes
100	common_voice_en_22053104_noise_0.03	no
101	common_voice_en_22106764_pitch_0.8	one
102	common_voice_en_22161850_pitch_1.2	three
103	common_voice_en_22113564_noise_0.03	yes
104	common_voice_en_22035169_noise_0.03	three
105	common_voice_en_22035180_pitch_0.8	no
106	common_voice_en_22035183_pitch_1.2	four
107	common_voice_en_22283040_noise_0.03	one
108	common_voice_en_21991023_noise_0.03	one
109	common_voice_en_21991024_pitch_0.8	three
110	common_voice_en_22009478_pitch_1.2	one
111	common_voice_en_22001935_noise_0.03	three
112	common_voice_en_22122181_noise_0.03	two
113	common_voice_en_22122200_pitch_0.8	yes
114	common_voice_en_22195413_pitch_1.2	one
115	common_voice_en_22201115_noise_0.03	two
116	common_voice_en_21958423_noise_0.03	yes
117	common_voice_en_22184843_pitch_0.8	four
118	common_voice_en_22184846_pitch_1.2	one
119	common_voice_en_22222707_noise_0.03	three
120	common_voice_en_22073536_noise_0.03	three
121	common_voice_en_22039232_pitch_0.8	yes
122	common_voice_en_22039365_pitch_1.2	no
123	common_voice_en_22227605_noise_0.03	two
124	common_voice_en_22150571_noise_0.03	three
125	common_voice_en_22150574_pitch_0.8	four
126	common_voice_en_22012515_pitch_1.2	yes
127	common_voice_en_22203454_noise_0.03	three
128	common_voice_en_22074387_noise_0.03	one
129	common_voice_en_21941558_pitch_0.8	four
130	common_voice_en_21941560_pitch_1.2	yes
131	common_voice_en_22104895_noise_0.03	three
132	common_voice_en_22162421_noise_0.03	four
133	common_voice_en_21953456_pitch_0.8	no
134	common_voice_en_21953459_pitch_1.2	one
135	common_voice_en_21973224_noise_0.03	three
136	common_voice_en_22093175_noise_0.03	two
137	common_voice_en_21949036_pitch_0.8	yes
138	common_voice_en_21949038_pitch_1.2	four
139	common_voice_en_22113454_noise_0.03	three
140	common_voice_en_22049472_noise_0.03	one
141	common_voice_en_22156288_pitch_0.8	two
142	common_voice_en_22096092_pitch_1.2	no
143	common_voice_en_21918182_noise_0.03	three
144	common_voice_en_22088024_noise_0.03	no
145	common_voice_en_22109555_pitch_0.8	four
146	common_voice_en_22109557_pitch_1.2	one
147	common_voice_en_22026685_noise_0.03	one
148	common_voice_en_22073011_noise_0.03	two
149	common_voice_en_22073016_pitch_0.8	yes
150	common_voice_en_21940480_pitch_1.2	yes
151	common_voice_en_22219240_noise_0.03	no
152	common_voice_en_22187937_noise_0.03	one
153	common_voice_en_22006355_pitch_0.8	three
154	common_voice_en_22006362_pitch_1.2	two
155	common_voice_en_22044397_noise_0.03	one
156	common_voice_en_22287971_noise_0.03	no
157	common_voice_en_22069795_pitch_0.8	four
158	common_voice_en_22193716_pitch_1.2	yes
159	common_voice_en_22113879_noise_0.03	three
160	common_voice_en_22065117_noise_0.03	no
161	common_voice_en_22065184_pitch_0.8	two
162	common_voice_en_22019095_pitch_1.2	no
163	common_voice_en_22126934_noise_0.03	no
164	common_voice_en_22136310_noise_0.03	yes
165	common_voice_en_22228709_pitch_0.8	yes
166	common_voice_en_22228710_pitch_1.2	two
167	common_voice_en_21932810_noise_0.03	yes
168	common_voice_en_22159519_noise_0.03	no
169	common_voice_en_22186209_pitch_0.8	three
170	common_voice_en_22186211_pitch_1.2	yes
171	common_voice_en_21965424_noise_0.03	two
172	common_voice_en_22071650_noise_0.03	one
173	common_voice_en_21949904_pitch_0.8	yes
174	common_voice_en_21949907_pitch_1.2	one
175	common_voice_en_22178808_noise_0.03	three
176	common_voice_en_22200095_noise_0.03	yes
177	common_voice_en_22105583_pitch_0.8	three
178	common_voice_en_22197471_pitch_1.2	no
179	common_voice_en_22038734_noise_0.03	four
180	common_voice_en_21959053_noise_0.03	one
181	common_voice_en_21959056_pitch_0.8	no
182	common_voice_en_22199917_pitch_1.2	three
183	common_voice_en_22296021_noise_0.03	one
184	common_voice_en_22261044_noise_0.03	yes
185	common_voice_en_22261045_pitch_0.8	one
186	common_voice_en_22261046_pitch_1.2	no
187	common_voice_en_22172986_noise_0.03	four
188	common_voice_en_22047367_noise_0.03	one
189	common_voice_en_22047368_pitch_0.8	two
190	common_voice_en_22119979_pitch_1.2	no
191	common_voice_en_21945695_noise_0.03	no
192	common_voice_en_22148753_noise_0.03	four
193	common_voice_en_22148754_pitch_0.8	three
194	common_voice_en_22088009_pitch_1.2	one
195	common_voice_en_21990265_noise_0.03	no
196	common_voice_en_22157857_noise_0.03	no
197	common_voice_en_21963479_pitch_0.8	four
198	common_voice_en_22206923_pitch_1.2	yes
199	common_voice_en_21916756_noise_0.03	three
200	common_voice_en_22263067_noise_0.03	one
201	common_voice_en_22263075_pitch_0.8	two
202	common_voice_en_22081246_pitch_1.2	four
203	common_voice_en_22139037_noise_0.03	four
204	common_voice_en_22193584_noise_0.03	two
205	common_voice_en_21962019_pitch_0.8	one
206	common_voice_en_21962022_pitch_1.2	two
207	common_voice_en_22014375_noise_0.03	no
208	common_voice_en_22297918_noise_0.03	one
209	common_voice_en_22060076_pitch_0.8	two
210	common_voice_en_22060079_pitch_1.2	one
211	common_voice_en_22170128_noise_0.03	no
212	common_voice_en_22112642_noise_0.03	no
213	common_voice_en_22026787_pitch_0.8	no
214	common_voice_en_22026789_pitch_1.2	four
215	common_voice_en_22073957_noise_0.03	two
216	common_voice_en_22182078_noise_0.03	one
217	common_voice_en_22016405_pitch_0.8	no
218	common_voice_en_22016407_pitch_1.2	three
219	common_voice_en_21948821_noise_0.03	two
220	common_voice_en_21943911_noise_0.03	no
221	common_voice_en_21943915_pitch_0.8	one
222	common_voice_en_22060919_pitch_1.2	no
223	common_voice_en_22039203_noise_0.03	three
224	common_voice_en_22204407_noise_0.03	three
225	common_voice_en_22204409_pitch_0.8	yes
226	common_voice_en_22154506_pitch_1.2	two
227	common_voice_en_22148601_noise_0.03	two
228	common_voice_en_22203391_noise_0.03	no
229	common_voice_en_22203392_pitch_0.8	one
230	common_voice_en_22285600_pitch_1.2	no
231	common_voice_en_22186240_noise_0.03	one
232	common_voice_en_22193427_noise_0.03	three
233	common_voice_en_22070232_pitch_0.8	two
234	common_voice_en_22074197_pitch_1.2	no
235	common_voice_en_21949046_noise_0.03	two
236	common_voice_en_22069843_noise_0.03	no
237	common_voice_en_22069845_pitch_0.8	four
238	common_voice_en_22087106_pitch_1.2	yes
239	common_voice_en_22002389_noise_0.03	yes
240	common_voice_en_22013704_noise_0.03	one
241	common_voice_en_22075609_pitch_0.8	one
242	common_voice_en_22075614_pitch_1.2	four
243	common_voice_en_22066744_noise_0.03	yes
244	common_voice_en_22097428_noise_0.03	three
245	common_voice_en_21984419_pitch_0.8	one
246	common_voice_en_21984420_pitch_1.2	yes
247	common_voice_en_22008578_noise_0.03	four
248	common_voice_en_22065447_noise_0.03	one
249	common_voice_en_22027331_pitch_0.8	four
250	common_voice_en_22168737_pitch_1.2	four
251	common_voice_en_21970462_noise_0.03	three
252	common_voice_en_22269888_noise_0.03	four
253	common_voice_en_22269889_pitch_0.8	two
254	common_voice_en_22269890_pitch_1.2	no
255	common_voice_en_21923934_noise_0.03	three
256	common_voice_en_22036758_noise_0.03	four
257	common_voice_en_22036759_pitch_0.8	one
258	common_voice_en_22141988_pitch_1.2	two
259	common_voice_en_21952959_noise_0.03	yes
260	common_voice_en_22103711_noise_0.03	one
261	common_voice_en_22103714_pitch_0.8	three
262	common_voice_en_22103715_pitch_1.2	no
263	common_voice_en_22044058_noise_0.03	two
264	common_voice_en_22071470_noise_0.03	one
265	common_voice_en_21938040_pitch_0.8	no
266	common_voice_en_21938042_pitch_1.2	yes
267	common_voice_en_22157513_noise_0.03	yes
268	common_voice_en_22215102_noise_0.03	no
269	common_voice_en_22174433_pitch_0.8	four
270	common_voice_en_22174435_pitch_1.2	yes
271	common_voice_en_22235175_noise_0.03	two
272	common_voice_en_21983296_noise_0.03	no
273	common_voice_en_21983377_pitch_0.8	three
274	common_voice_en_21963862_pitch_1.2	yes
275	common_voice_en_22095794_noise_0.03	one
276	common_voice_en_22057827_noise_0.03	three
277	common_voice_en_22057828_pitch_0.8	two
278	common_voice_en_22226011_pitch_1.2	no
279	common_voice_en_21897416_noise_0.03	one
280	common_voice_en_22170192_noise_0.03	one
281	common_voice_en_22170193_pitch_0.8	four
282	common_voice_en_22170194_pitch_1.2	three
283	common_voice_en_21949888_noise_0.03	yes
284	common_voice_en_21984329_noise_0.03	yes
285	common_voice_en_22093177_pitch_0.8	three
286	common_voice_en_22093215_pitch_1.2	four
287	common_voice_en_22110680_noise_0.03	three
288	common_voice_en_22057579_noise_0.03	yes
289	common_voice_en_22057582_pitch_0.8	four
290	common_voice_en_22017704_pitch_1.2	two
291	common_voice_en_22007601_noise_0.03	two
292	common_voice_en_22147082_noise_0.03	two
293	common_voice_en_22151819_pitch_0.8	one
294	common_voice_en_22151821_pitch_1.2	yes
295	common_voice_en_22174235_noise_0.03	two
296	common_voice_en_22301506_noise_0.03	yes
297	common_voice_en_22009181_pitch_0.8	two
298	common_voice_en_22019169_pitch_1.2	four
299	common_voice_en_22156855_noise_0.03	yes
300	common_voice_en_22116288_noise_0.03	two
301	common_voice_en_22116292_pitch_0.8	no
302	common_voice_en_22148678_pitch_1.2	three
303	common_voice_en_22160524_noise_0.03	one
304	common_voice_en_22010987_noise_0.03	two
305	common_voice_en_22010988_pitch_0.8	three
306	common_voice_en_22021048_pitch_1.2	three
307	common_voice_en_21965027_noise_0.03	two
308	common_voice_en_22047419_noise_0.03	yes
309	common_voice_en_22047420_pitch_0.8	four
310	common_voice_en_22047421_pitch_1.2	one
311	common_voice_en_22077404_noise_0.03	two
312	common_voice_en_22276549_noise_0.03	no
313	common_voice_en_22276552_pitch_0.8	one
314	common_voice_en_21931963_pitch_1.2	four
315	common_voice_en_22003575_noise_0.03	four
316	common_voice_en_21959361_noise_0.03	three
317	common_voice_en_22253162_pitch_0.8	yes
318	common_voice_en_22253164_pitch_1.2	one
319	common_voice_en_22127484_noise_0.03	two
320	common_voice_en_21920917_noise_0.03	three
321	common_voice_en_22188598_pitch_0.8	one
322	common_voice_en_22188605_pitch_1.2	two
323	common_voice_en_22107235_noise_0.03	three
324	common_voice_en_21916493_noise_0.03	yes
325	common_voice_en_21916496_pitch_0.8	four
326	common_voice_en_21945574_pitch_1.2	yes
327	common_voice_en_21929819_noise_0.03	yes
328	common_voice_en_22187623_noise_0.03	yes
329	common_voice_en_22113594_pitch_0.8	four
330	common_voice_en_22113595_pitch_1.2	three
331	common_voice_en_22155841_noise_0.03	one
332	common_voice_en_22224238_noise_0.03	no
333	common_voice_en_22224240_pitch_0.8	four
334	common_voice_en_21939336_pitch_1.2	no
335	common_voice_en_22221239_noise_0.03	one
336	common_voice_en_22264413_noise_0.03	no
337	common_voice_en_21963430_pitch_0.8	two
338	common_voice_en_21963432_pitch_1.2	three
339	common_voice_en_22123534_noise_0.03	yes
340	common_voice_en_21956280_noise_0.03	no
341	common_voice_en_22142307_pitch_0.8	two
342	common_voice_en_22142309_pitch_1.2	yes
343	common_voice_en_22228226_noise_0.03	three
344	common_voice_en_22196651_noise_0.03	four
345	common_voice_en_22250420_pitch_0.8	two
346	common_voice_en_22250428_pitch_1.2	four
347	common_voice_en_21984588_noise_0.03	three
348	common_voice_en_21895784_noise_0.03	three
349	common_voice_en_21895786_pitch_0.8	four
350	common_voice_en_22021528_pitch_1.2	four
351	common_voice_en_22009023_noise_0.03	one
352	common_voice_en_22039518_noise_0.03	four
353	common_voice_en_22131695_pitch_0.8	four
354	common_voice_en_22221114_pitch_1.2	three
355	common_voice_en_22076026_noise_0.03	one
356	common_voice_en_22219333_noise_0.03	three
357	common_voice_en_21901359_pitch_0.8	four
358	common_voice_en_21901360_pitch_1.2	yes
359	common_voice_en_22084022_noise_0.03	three
360	common_voice_en_22111852_noise_0.03	four
361	common_voice_en_22111853_pitch_0.8	no
362	common_voice_en_22111855_pitch_1.2	one
363	common_voice_en_22099505_noise_0.03	three
364	common_voice_en_22177231_noise_0.03	four
365	common_voice_en_22177235_pitch_0.8	yes
366	common_voice_en_21993094_pitch_1.2	no
367	common_voice_en_22223828_noise_0.03	two
368	common_voice_en_22225955_noise_0.03	no
369	common_voice_en_22225962_pitch_0.8	one
370	common_voice_en_22184355_pitch_1.2	yes
371	common_voice_en_22008667_noise_0.03	yes
372	common_voice_en_22136605_noise_0.03	four
373	common_voice_en_22074693_pitch_0.8	yes
374	common_voice_en_22074703_pitch_1.2	two
375	common_voice_en_22023705_noise_0.03	two
376	common_voice_en_21920216_noise_0.03	two
377	common_voice_en_22220404_pitch_0.8	four
378	common_voice_en_22220407_pitch_1.2	two
379	common_voice_en_21942492_noise_0.03	three
380	common_voice_en_22167945_noise_0.03	two
381	common_voice_en_22151472_pitch_0.8	one
382	common_voice_en_22148069_pitch_1.2	four
383	common_voice_en_22271012_noise_0.03	one
384	common_voice_en_22004215_noise_0.03	one
385	common_voice_en_21969331_pitch_0.8	four
386	common_voice_en_21969369_pitch_1.2	three
387	common_voice_en_22061548_noise_0.03	no
388	common_voice_en_21963349_noise_0.03	no
389	common_voice_en_21963356_pitch_0.8	four
390	common_voice_en_22134159_pitch_1.2	one
391	common_voice_en_22087737_noise_0.03	four
392	common_voice_en_22017516_noise_0.03	four
393	common_voice_en_22017518_pitch_0.8	no
394	common_voice_en_22100496_pitch_1.2	no
395	common_voice_en_21974354_noise_0.03	one
396	common_voice_en_22216437_noise_0.03	three
397	common_voice_en_22216447_pitch_0.8	one
398	common_voice_en_22019945_pitch_1.2	three
399	common_voice_en_21971574_noise_0.03	four
400	common_voice_en_21968995_noise_0.03	four
401	common_voice_en_21969292_pitch_0.8	four
402	common_voice_en_21969592_pitch_1.2	one
403	common_voice_en_21915172_noise_0.03	yes
404	common_voice_en_22126038_noise_0.03	yes
405	common_voice_en_22126042_pitch_0.8	four
406	common_voice_en_22134655_pitch_1.2	one
407	common_voice_en_21975671_noise_0.03	yes
408	common_voice_en_21970015_noise_0.03	no
409	common_voice_en_21926503_pitch_0.8	two
410	common_voice_en_21926505_pitch_1.2	one
411	common_voice_en_22304956_noise_0.03	yes
412	common_voice_en_22230759_noise_0.03	no
413	common_voice_en_21968382_pitch_0.8	three
414	common_voice_en_22219759_pitch_1.2	one
415	common_voice_en_22016489_noise_0.03	four
416	common_voice_en_22115873_noise_0.03	two
417	common_voice_en_22115878_pitch_0.8	yes
418	common_voice_en_22115885_pitch_1.2	one
419	common_voice_en_22147343_noise_0.03	one
420	common_voice_en_22227024_noise_0.03	one
421	common_voice_en_21955592_pitch_0.8	four
422	common_voice_en_21955593_pitch_1.2	no
423	common_voice_en_22092398_noise_0.03	two
424	common_voice_en_22186131_noise_0.03	four
425	common_voice_en_22299619_pitch_0.8	yes
426	common_voice_en_21971022_pitch_1.2	yes
427	common_voice_en_21943806_noise_0.03	two
428	common_voice_en_22123598_noise_0.03	two
429	common_voice_en_21902559_pitch_0.8	one
430	common_voice_en_21902562_pitch_1.2	three
431	common_voice_en_22125333_noise_0.03	two
432	common_voice_en_22271002_noise_0.03	four
433	common_voice_en_22271004_pitch_0.8	two
434	common_voice_en_22271005_pitch_1.2	yes
435	common_voice_en_22015504_noise_0.03	three
436	common_voice_en_22190245_noise_0.03	three
437	common_voice_en_22004644_pitch_0.8	no
438	common_voice_en_22004646_pitch_1.2	two
439	common_voice_en_22003029_noise_0.03	yes
440	common_voice_en_22163077_noise_0.03	three
441	common_voice_en_22071145_pitch_0.8	no
442	common_voice_en_22071147_pitch_1.2	three
443	common_voice_en_22172814_noise_0.03	one
444	common_voice_en_22202144_noise_0.03	one
445	common_voice_en_22126060_pitch_0.8	four
446	common_voice_en_22290542_pitch_1.2	one
447	common_voice_en_22160935_noise_0.03	four
448	common_voice_en_22088931_noise_0.03	one
449	common_voice_en_22152037_pitch_0.8	four
450	common_voice_en_22152040_pitch_1.2	yes
451	common_voice_en_22038376_noise_0.03	one
452	common_voice_en_22059331_noise_0.03	one
453	common_voice_en_22059334_pitch_0.8	no
454	common_voice_en_22173766_pitch_1.2	one
455	common_voice_en_22075947_noise_0.03	no
456	common_voice_en_22008868_noise_0.03	no
457	common_voice_en_22008870_pitch_0.8	two
458	common_voice_en_22008871_pitch_1.2	yes
459	common_voice_en_22133903_noise_0.03	one
460	common_voice_en_22145536_noise_0.03	two
461	common_voice_en_22145537_pitch_0.8	no
462	common_voice_en_22085265_pitch_1.2	two
463	common_voice_en_22220647_noise_0.03	four
464	common_voice_en_22097000_noise_0.03	no
465	common_voice_en_22131206_pitch_0.8	three
466	common_voice_en_22212168_pitch_1.2	two
467	common_voice_en_22166840_noise_0.03	one
468	common_voice_en_22121093_noise_0.03	yes
469	common_voice_en_22206915_pitch_0.8	yes
470	common_voice_en_22206916_pitch_1.2	four
471	common_voice_en_21984432_noise_0.03	no
472	common_voice_en_22215266_noise_0.03	yes
473	common_voice_en_22215268_pitch_0.8	three
474	common_voice_en_22215269_pitch_1.2	one
475	common_voice_en_22122464_noise_0.03	no
476	common_voice_en_22033459_noise_0.03	one
477	common_voice_en_22206833_pitch_0.8	no
478	common_voice_en_21991743_pitch_1.2	two
479	common_voice_en_21968508_noise_0.03	one
480	common_voice_en_22127961_noise_0.03	two
481	common_voice_en_22127963_pitch_0.8	one
482	common_voice_en_22120497_pitch_1.2	four
483	common_voice_en_22093405_noise_0.03	yes
484	common_voice_en_22106982_noise_0.03	one
485	common_voice_en_22173050_pitch_0.8	no
486	common_voice_en_22173053_pitch_1.2	one
487	common_voice_en_22212989_noise_0.03	yes
488	common_voice_en_22182663_noise_0.03	four
489	common_voice_en_22182666_pitch_0.8	yes
490	common_voice_en_22182669_pitch_1.2	no
491	common_voice_en_22216369_noise_0.03	four
492	common_voice_en_22174455_noise_0.03	two
493	common_voice_en_22207939_pitch_0.8	no
494	common_voice_en_22207940_pitch_1.2	three
495	common_voice_en_22069212_noise_0.03	one
496	common_voice_en_21970412_noise_0.03	yes
497	common_voice_en_21988798_pitch_0.8	no
498	common_voice_en_21988799_pitch_1.2	yes
499	common_voice_en_21970906_noise_0.03	no
500	common_voice_en_22057474_noise_0.03	two
501	common_voice_en_22057476_pitch_0.8	no
502	common_voice_en_22002531_pitch_1.2	three
503	common_voice_en_22217348_noise_0.03	one
504	common_voice_en_22256085_noise_0.03	two
505	common_voice_en_21908389_pitch_0.8	two
506	common_voice_en_22139089_pitch_1.2	no
507	common_voice_en_21949960_noise_0.03	two
508	common_voice_en_21955115_noise_0.03	three
509	common_voice_en_21955117_pitch_0.8	one
510	common_voice_en_21955121_pitch_1.2	two
511	common_voice_en_22158115_noise_0.03	four
512	common_voice_en_22221615_noise_0.03	no
513	common_voice_en_22098682_pitch_0.8	three
514	common_voice_en_22098683_pitch_1.2	one
515	common_voice_en_22215982_noise_0.03	no
516	common_voice_en_22098713_noise_0.03	three
517	common_voice_en_22098717_pitch_0.8	one
518	common_voice_en_22082022_pitch_1.2	four
519	common_voice_en_21989940_noise_0.03	yes
520	common_voice_en_21951285_noise_0.03	two
521	common_voice_en_21951286_pitch_0.8	three
522	common_voice_en_21951287_pitch_1.2	one
523	common_voice_en_22118410_noise_0.03	four
524	common_voice_en_22229246_noise_0.03	two
525	common_voice_en_22229248_pitch_0.8	one
526	common_voice_en_21932173_pitch_1.2	no
527	common_voice_en_22126725_noise_0.03	four
528	common_voice_en_22135910_noise_0.03	four
529	common_voice_en_22135921_pitch_0.8	one
530	common_voice_en_22188714_pitch_1.2	three
531	common_voice_en_22232593_noise_0.03	yes
532	common_voice_en_22270734_noise_0.03	one
533	common_voice_en_21978294_pitch_0.8	one
534	common_voice_en_21942243_pitch_1.2	no
535	common_voice_en_21938776_noise_0.03	no
536	common_voice_en_22137628_noise_0.03	yes
537	common_voice_en_22238390_pitch_0.8	three
538	common_voice_en_21965775_pitch_1.2	four
539	common_voice_en_22219599_noise_0.03	no
540	common_voice_en_22016301_noise_0.03	two
541	common_voice_en_22016303_pitch_0.8	one
542	common_voice_en_22001623_pitch_1.2	no
543	common_voice_en_22158702_noise_0.03	one
544	common_voice_en_22213571_noise_0.03	no
545	common_voice_en_22148474_pitch_0.8	no
546	common_voice_en_22148478_pitch_1.2	four
547	common_voice_en_22151426_noise_0.03	four
548	common_voice_en_22217413_noise_0.03	yes
549	common_voice_en_22217423_pitch_0.8	three
550	common_voice_en_22136266_pitch_1.2	three
551	common_voice_en_22097778_noise_0.03	one
552	common_voice_en_22082103_noise_0.03	one
553	common_voice_en_22124999_pitch_0.8	three
554	common_voice_en_22234293_pitch_1.2	one
555	common_voice_en_21928423_noise_0.03	no
556	common_voice_en_21950876_noise_0.03	one
557	common_voice_en_22109146_pitch_0.8	one
558	common_voice_en_22072138_pitch_1.2	one
559	common_voice_en_22073052_noise_0.03	one
560	common_voice_en_22147090_noise_0.03	no
561	common_voice_en_21946611_pitch_0.8	one
562	common_voice_en_21946614_pitch_1.2	yes
563	common_voice_en_21894905_noise_0.03	two
564	common_voice_en_21962015_noise_0.03	yes
565	common_voice_en_21962016_pitch_0.8	four
566	common_voice_en_22061061_pitch_1.2	yes
567	common_voice_en_22026812_noise_0.03	four
568	common_voice_en_22011283_noise_0.03	three
569	common_voice_en_21992285_pitch_0.8	two
570	common_voice_en_22149426_pitch_1.2	no
571	common_voice_en_22076077_noise_0.03	three
572	common_voice_en_22153075_noise_0.03	yes
573	common_voice_en_22180653_pitch_0.8	three
574	common_voice_en_22180654_pitch_1.2	one
575	common_voice_en_22003568_noise_0.03	three
576	common_voice_en_22096492_noise_0.03	four
577	common_voice_en_22302317_pitch_0.8	yes
578	common_voice_en_22302322_pitch_1.2	no
579	common_voice_en_21957969_noise_0.03	two
580	common_voice_en_22063254_noise_0.03	no
581	common_voice_en_22229723_pitch_0.8	one
582	common_voice_en_22024437_pitch_1.2	one
583	common_voice_en_22108275_noise_0.03	two
584	common_voice_en_22213423_noise_0.03	one
585	common_voice_en_22213431_pitch_0.8	no
586	common_voice_en_22075876_pitch_1.2	one
587	common_voice_en_22111407_noise_0.03	one
588	common_voice_en_22175515_noise_0.03	two
589	common_voice_en_22139827_pitch_0.8	four
590	common_voice_en_22139832_pitch_1.2	three
591	common_voice_en_22036421_noise_0.03	two
592	common_voice_en_22108712_noise_0.03	three
593	common_voice_en_22195821_pitch_0.8	two
594	common_voice_en_22195825_pitch_1.2	one
595	common_voice_en_22005650_noise_0.03	one
596	common_voice_en_22285293_noise_0.03	two
597	common_voice_en_22300208_pitch_0.8	yes
598	common_voice_en_22019516_pitch_1.2	four
599	common_voice_en_21924617_noise_0.03	yes
600	common_voice_en_22048691_noise_0.03	four
601	common_voice_en_22138814_pitch_0.8	two
602	common_voice_en_22138825_pitch_1.2	yes
603	common_voice_en_22213852_noise_0.03	three
604	common_voice_en_22217604_noise_0.03	no
605	common_voice_en_22235128_pitch_0.8	yes
606	common_voice_en_22235132_pitch_1.2	two
607	common_voice_en_22147625_noise_0.03	four
608	common_voice_en_21952829_noise_0.03	two
609	common_voice_en_22178687_pitch_0.8	yes
610	common_voice_en_22178689_pitch_1.2	no
611	common_voice_en_22220528_noise_0.03	no
612	common_voice_en_22003669_noise_0.03	one
613	common_voice_en_22003670_pitch_0.8	four
614	common_voice_en_22003671_pitch_1.2	no
615	common_voice_en_21947027_noise_0.03	two
